name,artist,file,tempo,energy,danceability,valence_proxy,mood
Children,Constantin Nasiri,Children_Constantin_Nasiri_track.mp3,118.0,0.2733925456046327,0.6108532905578613,0.6809648991626481,Neutral
Time,Carlita,Time_Carlita_track.mp3,125.0,0.2755360749508287,0.4294910430908203,0.6495808374876961,Neutral
Million Miles Away,Miss Monique,Million_Miles_Away_Miss_Monique_track.mp3,125.0,0.3161543280890546,0.4484854698181152,0.7738606356853909,Neutral
Everyone's Free (To Wear Sunscreen),HOVR,Everyone's_Free_(To_Wear_Sunscreen)_HOVR_track.mp3,123.0,0.3278564496559296,0.4811761856079101,0.6464228481288046,Neutral
Queen,Melmont,Queen_Melmont_track.mp3,122.0,0.3222923934341503,0.4956960678100586,0.7922856344404091,Neutral
RITMO,Argy,RITMO_Argy_track.mp3,128.0,0.3863998338060507,0.4528199672698975,0.8033969879408502,Happy
Volar,Seba Campos,Volar_Seba_Campos_track.mp3,122.0,0.3733014329419389,0.5249680519104004,0.8497400483568622,Happy
Always - Monkey Safari Remix,RUFUS DU SOL,Always_-_Monkey_Safari_Remix_RUFUS_DU_SOL_track.mp3,125.0,0.3844689217624247,0.6384708881378174,0.7171153218533786,Happy
Can You See,UOAK,Can_You_See_UOAK_track.mp3,120.0,0.4193860292398222,0.4741289138793945,0.673609477144916,Energetic
Montana,Jasch Patrick,Montana_Jasch_Patrick_track.mp3,120.0,0.3350496955599747,0.8482623100280762,0.7837528391939614,Neutral
Like Forever - Hernan Cattaneo and Kevin Di Serna Remix,El Mundo,Like_Forever_-_Hernan_Cattaneo_and_Kevin_Di_Serna_Remix_El_Mundo_track.mp3,125.0,0.3496653089742723,0.4783617973327637,0.751135008770115,Neutral
Bulkowa - Wassu Remix,Arina Mur,Bulkowa_-_Wassu_Remix_Arina_Mur_track.mp3,122.0,0.3578736112072224,0.6087215900421142,0.889876974439485,Happy
The Sun - Remix,Booka Shade,The_Sun_-_Remix_Booka_Shade_track.mp3,122.0,0.3028289819107631,0.6478945255279541,0.7091918147142249,Neutral
Sensibilite,Marat Mode,Sensibilite_Marat_Mode_track.mp3,125.0,0.4259290936733798,0.4992918014526367,0.7244832662743043,Happy
Hollow (feat. Bonn),MORTEN,Hollow_(feat._Bonn)_MORTEN_track.mp3,127.0,0.31660140030533,0.3946854114532471,0.812822068181466,Neutral
